RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
409,1774304975.837000,1774305151.066925,1022,443,175.224242,1.169003,0.393790,True,0.005683,1
2206,1774307380.024349,1774307563.322437,1034,428,183.297540,1.701711,0.425283,True,0.000548,1
410,1774304976.090857,1774305068.898987,1176,373,92.807588,2.111254,0.243807,True,0.000543,1
2207,1774307380.653391,1774307411.221358,373,93,30.557330,0.926356,0.322076,True,0.010637,1
411,1774304976.242410,1774305136.616305,1007,403,160.371215,2.013378,0.393925,True,0.002681,1
2208,1774307381.839156,1774307438.909957,890,115,57.062074,1.037357,0.491445,True,0.008728,1
412,1774304979.406632,1774304991.562525,382,38,12.147194,0.679782,0.309930,True,0.008699,1
2209,1774307383.269536,1774307408.845602,377,51,25.570358,0.642625,0.498555,True,0.005708,1
413,1774304982.894446,1774305005.123015,396,107,22.227981,0.877238,0.201422,True,0.000588,1
2210,1774307384.323321,1774307444.248298,426,126,59.917316,0.552562,0.474918,True,0.007662,1
414,1774304983.054475,1774305044.064289,401,147,61.003080,0.704244,0.413006,True,0.006735,1
2211,1774307384.385297,1774307421.219350,1508,76,36.825583,1.666346,0.468790,True,0.008471,1
415,1774304983.580264,1774305035.215750,882,135,51.628724,1.242155,0.376019,True,0.006762,1
2212,1774307386.289877,1774307562.124722,1059,410,175.828119,1.151201,0.427083,True,0.006726,1
416,1774304988.407393,1774305089.544460,1161,429,101.131415,2.210883,0.231123,True,0.005652,1
2213,1774307390.615419,1774307565.955195,1196,410,175.330957,1.525274,0.424953,True,0.008820,1
417,1774304989.046755,1774305047.770755,21,139,58.718306,0.286445,0.423419,True,0.005694,1
2214,1774307392.941595,1774307569.127694,1072,419,176.182287,1.139352,0.418763,True,0.003812,1
418,1774304989.859789,1774305145.917627,1053,383,156.054893,1.394726,0.404870,True,0.002944,1
2215,1774307393.832872,1774307518.215909,1020,394,124.378395,2.060565,0.311241,True,0.004642,1
419,1774304991.566857,1774305029.884016,402,102,38.308514,1.744886,0.362016,True,0.008645,1
2216,1774307394.282184,1774307460.176871,26,150,65.886045,1.376753,0.432948,True,0.008641,1
