RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
3786,1774418465.765220,1774418673.721715,1314,204,207.952131,36.481743,0.844682,True,0.004365,1
5929,1774418916.752774,1774419138.821340,1147,392,222.059766,28.985846,0.493795,True,0.008800,1
32,1774417614.322368,1774417651.172987,209,181,36.846883,0.190694,0.203645,True,0.003736,1
46,1774417619.417394,1774417646.027450,64,174,26.606257,0.145350,0.152953,True,0.003799,1
4654,1774418660.619883,1774419197.800871,1086,423,528.838995,66.648483,1.095238,True,8.341993,1
7204,1774419166.971690,1774419257.624616,387,102,90.646827,0.000000,0.897493,True,0.006099,3
10434,1774419719.166975,1774419738.557763,181,251,19.381314,0.219209,0.076648,True,0.009474,1
11709,1774419935.861760,1774420154.593207,945,388,218.730168,31.400362,0.484056,True,0.001279,1
12984,1774420189.763771,1774420527.721920,1234,405,337.953394,2.423192,0.830520,True,0.004755,1
14939,1774420645.280087,1774420852.190284,1149,385,206.909426,28.667899,0.464171,True,0.000772,1
4,1774417597.219917,1774417598.814530,91,16,1.583901,0.169335,0.094304,True,0.010713,1
47,1774417619.680262,1774417637.852857,458,123,18.168919,0.355096,0.146015,True,0.003677,1
3787,1774418465.841260,1774418503.100195,1088,402,37.258273,1.118453,0.090124,True,0.000663,1
4655,1774418660.906450,1774419142.358759,1038,375,473.280328,70.587499,1.076719,True,8.171981,1
5930,1774418916.811262,1774419047.585475,408,96,130.768742,31.061039,1.049555,True,0.005471,1
7205,1774419167.302543,1774419257.614058,401,102,90.300935,0.000000,0.894069,True,0.010580,3
10435,1774419719.231349,1774419771.970048,432,99,52.731847,0.395889,0.534040,True,0.006852,1
11710,1774419935.920048,1774420188.452668,1020,461,252.527807,32.491486,0.478340,True,0.004812,1
12985,1774420190.023679,1774420231.912282,226,49,41.885838,1.512905,0.841103,True,0.002766,1
14940,1774420645.549707,1774420697.855801,1029,52,52.299188,28.392179,0.468765,True,0.006906,1
31,1774417614.041331,1774417648.403810,126,172,34.350286,0.151116,0.199995,True,0.012193,1
48,1774417619.905777,1774417644.244442,1352,158,24.332973,1.105793,0.147944,True,0.005691,1
3788,1774418466.011585,1774418499.286936,1316,353,33.264563,2.232009,0.088161,True,0.010788,1
4656,1774418660.990054,1774419206.195647,1104,396,537.012000,102.014849,1.101259,True,8.193593,1
5931,1774418916.814489,1774419029.877419,388,49,113.048468,65.583623,0.988851,True,0.014461,1
7206,1774419167.321818,1774419500.264091,1020,565,332.939126,9.415713,0.573623,True,0.003147,2
10436,1774419719.247286,1774419773.527970,397,99,54.278725,4.015023,0.512895,True,0.001959,1
11711,1774419936.207550,1774420076.656532,1323,210,140.439984,1.578268,0.664410,True,0.008998,1
12986,1774420190.073806,1774420471.128013,1309,442,281.048014,12.215732,0.609597,True,0.006192,2
14941,1774420645.810181,1774420752.394836,212,217,106.576526,20.421668,0.398865,True,0.008129,1
17,1774417604.213719,1774417621.951618,206,162,17.735199,0.210634,0.108848,True,0.002699,1
49,1774417619.935386,1774417744.660248,874,404,124.716879,0.439840,0.308380,True,0.007982,1
3789,1774418466.411669,1774418895.936482,1042,398,429.518812,53.343082,0.947546,True,0.006001,1
4657,1774418661.369487,1774418973.146893,937,571,303.859338,39.850501,0.463173,True,7.918068,1
5932,1774418917.017536,1774419016.918446,382,65,99.889934,32.299339,1.056103,True,0.010976,1
7207,1774419167.472098,1774419393.289556,1129,401,225.815349,11.021003,0.536986,True,0.002109,2
10437,1774419719.336422,1774419946.771945,1108,391,227.429723,5.273917,0.569630,True,0.005800,2
11712,1774419936.267243,1774419994.313856,1611,52,58.045979,39.265581,0.368243,True,0.000633,1
12987,1774420190.087873,1774420249.819252,1950,99,59.728608,15.170633,0.454673,True,0.002771,1
14942,1774420646.219437,1774420686.426040,791,64,40.198871,0.894943,0.623872,True,0.007732,1
7,1774417599.578328,1774417609.585382,388,84,10.000316,0.728574,0.111708,True,0.006738,1
50,1774417620.092258,1774417629.227174,378,58,9.128954,0.424901,0.152703,True,0.005962,1
3790,1774418466.541589,1774418899.412540,1020,375,432.870027,72.143091,0.964511,True,0.000925,1
4658,1774418661.734252,1774418875.713297,1060,395,206.256566,25.767132,0.458095,True,7.722480,1
5933,1774418917.202262,1774418930.474483,1995,56,13.267355,3.603714,0.175703,True,0.004866,1
7208,1774419167.562123,1774419418.154613,1171,443,250.587928,0.000000,0.566941,True,0.004562,3
10438,1774419719.513129,1774419783.952012,1785,84,64.431964,1.509381,0.758103,True,0.006919,1
