RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
13581,1774342255.341627,1774342441.902104,1020,390,186.549546,0.510410,0.478250,True,0.010932,1
987,1774339141.961642,1774339230.214179,1060,397,88.241899,1.076905,0.220114,True,0.010637,1
7801,1774340951.137856,1774340977.298419,1030,408,26.152926,1.110210,0.061530,True,0.007636,1
988,1774339141.980128,1774339329.017476,191,217,187.034622,104.621733,0.381541,True,0.002726,2
7802,1774340951.185749,1774341023.775794,1014,394,72.588245,1.225986,0.181583,True,0.001799,1
13582,1774342255.779799,1774342272.510015,231,63,16.726461,0.218684,0.266254,True,0.003754,1
7803,1774340951.423254,1774340976.744285,1115,396,25.318330,1.943437,0.059177,True,0.002701,1
13583,1774342256.011165,1774342357.812341,1318,201,101.798315,0.871887,0.504632,True,0.002861,1
989,1774339142.247579,1774339148.601225,394,93,6.349806,0.476397,0.063841,True,0.003840,1
990,1774339142.368578,1774339232.459237,1204,412,90.084002,1.024550,0.216690,True,0.006657,1
7804,1774340951.821928,1774340983.835339,376,87,32.012744,0.257643,0.369245,True,0.000667,1
13584,1774342256.535868,1774342354.550907,1000,396,98.009632,0.725339,0.246289,True,0.005407,1
991,1774339142.406717,1774339183.021500,197,217,40.614286,1.045342,0.183190,True,0.000497,1
7805,1774340951.927034,1774341200.314241,1168,452,248.378215,102.383701,0.323713,True,0.008992,2
13585,1774342256.877171,1774342359.053748,1028,411,102.171823,1.219219,0.246226,True,0.004754,1
992,1774339142.595193,1774339378.424187,1207,386,235.822084,99.399528,0.354344,True,0.006910,2
7806,1774340952.070608,1774340993.323654,424,107,41.252261,0.567650,0.383817,True,0.000785,1
13586,1774342257.121005,1774342278.072521,422,91,20.950822,0.502280,0.227206,True,0.000695,1
993,1774339142.710139,1774339206.402488,23,149,63.685616,1.016089,0.423443,True,0.006734,1
7807,1774340952.220215,1774341024.206449,181,186,71.977598,0.787246,0.384813,True,0.008636,1
994,1774339142.716316,1774339186.210427,396,95,43.482442,1.088936,0.450995,True,0.011670,1
7808,1774340952.443205,1774340987.294762,1147,93,34.845471,0.521599,0.373086,True,0.006086,1
13588,1774342257.780531,1774342344.344699,680,154,86.556849,6.819189,0.521161,True,0.007319,1
995,1774339142.787282,1774339232.779722,923,418,89.989860,1.001089,0.213402,True,0.002580,1
7809,1774340952.467109,1774341085.927402,1020,565,133.457720,96.575381,0.065394,True,0.002572,2
996,1774339142.883491,1774339188.121075,396,96,45.226659,0.979578,0.465759,True,0.010925,1
7810,1774340953.212029,1774340973.228338,393,100,20.005573,0.357252,0.198468,True,0.010736,1
13590,1774342258.100839,1774342315.259346,913,103,57.148309,0.733749,0.553084,True,0.010198,1
7811,1774340953.897383,1774340967.722278,371,55,13.818278,0.333251,0.249723,True,0.006617,1
13591,1774342258.147209,1774342277.553544,617,86,19.400103,0.508579,0.222253,True,0.006232,1
997,1774339142.883575,1774339438.918547,923,417,296.013019,100.401272,0.470221,True,0.021953,2
998,1774339142.909259,1774339415.229422,1262,415,272.313596,99.955199,0.416325,True,0.006567,2
7812,1774340954.280135,1774340979.351057,371,65,25.062969,0.439124,0.384748,True,0.007952,1
13592,1774342258.166653,1774342294.694872,732,75,36.520193,0.448478,0.487456,True,0.008026,1
999,1774339142.941019,1774339165.141261,1102,427,22.192648,1.399803,0.048809,True,0.007594,1
7813,1774340954.396632,1774340961.491886,1586,104,7.085998,1.818620,0.051140,True,0.009256,1
13593,1774342258.483740,1774342266.569617,331,18,8.082851,0.581553,0.441253,True,0.003025,1
1000,1774339143.126191,1774339179.882264,371,85,36.749439,0.683951,0.429351,True,0.006634,1
7814,1774340954.637329,1774341026.781127,1017,397,72.134081,1.040564,0.179529,True,0.009717,1
13594,1774342258.606957,1774342375.891623,212,217,117.279192,5.994830,0.515205,True,0.005474,1
1001,1774339143.647144,1774339366.125051,1186,371,222.470735,116.640377,0.286028,True,0.007172,2
7815,1774340954.680872,1774340981.434543,376,75,26.745915,0.374910,0.356365,True,0.007756,1
13595,1774342258.952798,1774342276.014034,252,67,17.054492,0.278062,0.254188,True,0.006745,1
1002,1774339143.815162,1774339203.154501,181,111,59.336393,10.923879,0.440114,True,0.002946,1
7816,1774340954.715428,1774340967.221178,379,48,12.501219,0.967600,0.245396,True,0.004531,1
13596,1774342259.110551,1774342280.866690,400,103,21.748318,0.446670,0.208840,True,0.007820,1
1003,1774339143.817611,1774339366.391976,1008,373,222.562662,97.360553,0.336565,True,0.011703,2
7817,1774340954.742993,1774341028.360612,877,409,73.607057,1.092100,0.177733,True,0.010562,1
1004,1774339143.829146,1774339231.362991,1225,401,87.522831,0.943414,0.216449,True,0.011014,1
7818,1774340954.862855,1774340975.524338,1110,411,20.654658,1.166814,0.047531,True,0.006825,1
13598,1774342259.208911,1774342299.381983,209,162,40.169325,0.406237,0.246976,True,0.003747,1
1005,1774339143.984864,1774339419.328155,1181,426,275.331899,96.562977,0.420633,True,0.011392,2
7819,1774340954.934732,1774341003.071970,408,127,48.128017,0.323863,0.379398,True,0.009220,1
1006,1774339144.118618,1774339176.615606,1311,169,32.494345,1.566474,0.184094,True,0.002643,1
7820,1774340954.969106,1774340971.795269,1997,81,16.820581,2.258557,0.182025,True,0.005582,1
13600,1774342259.261616,1774342273.372652,211,59,14.107371,0.428976,0.235834,True,0.003666,1
