RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
5255,1774351570.907666,1774351590.635433,941,78,19.725906,1.150656,0.241237,True,0.001860,1
3895,1774351200.902470,1774351225.973782,1088,402,25.063457,1.085766,0.059795,True,0.007855,1
471,1774350242.286280,1774350413.908489,1102,433,171.611236,0.848498,0.395284,True,0.010973,1
3021,1774350966.434120,1774351176.188911,1111,595,209.751049,0.869938,0.351652,True,0.003743,1
6530,1774351880.923237,1774351883.462466,237,14,2.531553,0.229606,0.177073,True,0.007676,1
7805,1774352180.175974,1774352380.853321,1168,452,200.666206,17.549167,0.406024,True,0.011142,1
9760,1774352602.043024,1774352707.170876,194,217,105.115926,0.445111,0.484587,True,0.011925,1
472,1774350242.501344,1774350414.655553,1007,424,172.151402,0.762181,0.405175,True,0.002807,1
3022,1774350966.775321,1774350969.796384,120,12,3.014854,1.445823,0.142639,True,0.006209,1
3896,1774351202.752572,1774351422.305457,1029,409,219.550662,40.139400,0.439733,True,0.002223,1
5256,1774351571.033070,1774351664.794060,203,164,93.760385,14.845357,0.484141,True,0.000605,1
6531,1774351881.111277,1774351928.600807,1230,52,47.488947,19.229555,0.554106,True,0.000583,1
7806,1774352180.320339,1774352241.308536,424,107,60.987196,10.263961,0.478521,True,0.001001,1
9761,1774352602.086296,1774352647.681134,1374,99,45.585579,0.745605,0.457551,True,0.009259,1
13586,1774353485.370744,1774353517.852984,422,91,32.479018,0.532819,0.354958,True,0.003221,1
3023,1774350967.067143,1774351044.468560,1316,209,77.393581,1.110280,0.366747,True,0.007836,1
3897,1774351202.888027,1774351267.278224,398,93,64.386693,19.591339,0.486906,True,0.003505,1
5257,1774351571.301851,1774351677.799903,215,194,106.487695,12.024630,0.489446,True,0.010357,1
473,1774350242.569921,1774350301.315845,203,167,58.737520,0.567394,0.350422,True,0.008404,1
6532,1774351881.194160,1774351928.063711,1062,51,46.867501,19.145504,0.554440,True,0.002050,1
7807,1774352180.469735,1774352222.996284,181,186,42.515770,0.488766,0.227173,True,0.010779,1
9762,1774352602.438427,1774352626.514611,400,145,24.067376,0.415331,0.164250,True,0.008808,1
474,1774350242.671177,1774350412.972277,1173,421,170.289498,1.037736,0.402980,True,0.011602,1
3024,1774350967.553580,1774351043.123102,391,88,75.568859,35.071967,0.465482,True,0.000664,1
3898,1774351203.249021,1774351411.394902,995,414,208.144989,21.531864,0.451848,True,0.000892,1
5258,1774351571.638443,1774351632.085171,389,84,60.437005,16.578726,0.528413,True,0.009722,1
6533,1774351881.273511,1774351958.433406,454,122,77.153195,11.958809,0.538797,True,0.006700,1
7808,1774352180.692610,1774352229.034881,1147,93,48.334391,0.549923,0.519396,True,0.007880,1
9763,1774352602.500721,1774352656.810241,403,108,54.298232,0.610578,0.501754,True,0.011288,1
13588,1774353486.030362,1774353578.525083,680,154,92.492824,11.897854,0.526765,True,0.001897,1
475,1774350242.677808,1774350387.394818,1080,371,144.700732,0.792043,0.388942,True,0.016278,1
3025,1774350967.990785,1774351056.746401,401,96,88.744532,43.568819,0.475534,True,0.011084,1
3899,1774351204.007688,1774351432.859082,1204,460,228.845383,23.331910,0.447742,True,0.006011,1
5259,1774351571.699019,1774351632.016571,429,97,60.306699,16.093788,0.460551,True,0.010853,1
6534,1774351881.624111,1774352112.479763,1060,398,230.851740,22.598896,0.524566,True,0.003912,1
7809,1774352180.715988,1774352427.384956,1020,565,246.662877,20.986784,0.400135,True,0.006091,1
9764,1774352602.500847,1774352643.617516,402,90,41.095005,0.707413,0.453793,True,0.021663,1
13589,1774353486.031813,1774353645.246647,1093,585,159.203780,0.808497,0.271225,True,0.011055,1
476,1774350243.028049,1774350274.911151,395,92,31.882541,0.511656,0.344735,True,0.000560,1
3026,1774350968.921640,1774351221.891570,1150,470,252.963168,27.583097,0.480555,True,0.006762,1
3900,1774351204.055486,1774351233.397956,120,12,29.341467,23.288994,0.550225,True,0.001003,1
5260,1774351571.847581,1774351670.875270,62,180,99.020818,11.482056,0.489043,True,0.006871,1
6535,1774351881.725571,1774351898.508944,479,75,16.774405,0.512569,0.219755,True,0.008968,1
7810,1774352181.460800,1774352187.298020,393,100,5.831108,0.425778,0.054599,True,0.006111,1
9765,1774352602.884609,1774352650.561505,393,104,47.671026,0.394423,0.458996,True,0.005870,1
13590,1774353486.352038,1774353547.274161,913,103,60.916373,2.785252,0.569913,True,0.005750,1
477,1774350243.037101,1774350521.049873,1011,677,278.009967,0.788390,0.410091,True,0.002804,1
3027,1774350969.024155,1774351062.462354,407,94,93.427250,46.292215,0.506828,True,0.010949,1
3901,1774351204.383165,1774351329.188888,200,217,124.794744,26.791689,0.453718,True,0.010979,1
5261,1774351571.852691,1774351639.961447,410,95,68.095122,26.540598,0.442069,True,0.013634,1
6536,1774351882.068554,1774352114.393020,1045,418,232.322576,12.114543,0.528077,True,0.001890,1
7811,1774352182.147088,1774352194.925754,371,55,12.775995,0.347812,0.230152,True,0.002671,1
9766,1774352603.179475,1774352661.483166,389,120,58.292629,0.322887,0.487141,True,0.011062,1
13591,1774353486.396985,1774353552.455941,617,86,66.055808,16.547333,0.582453,True,0.003148,1
478,1774350243.437555,1774350250.161967,91,24,6.714369,0.219846,0.282371,True,0.010043,1
3028,1774350969.417910,1774351062.133610,387,124,92.709675,34.055888,0.476860,True,0.006025,1
3902,1774351204.802391,1774351335.217607,999,417,130.410482,0.755358,0.311671,True,0.004734,1
5262,1774351572.010751,1774351773.175467,996,378,201.161783,16.018772,0.491096,True,0.002933,1
6537,1774351882.069759,1774351887.002427,399,80,4.921090,0.402996,0.057191,True,0.011578,1
7812,1774352182.528942,1774352219.750479,371,65,37.215850,1.387209,0.559823,True,0.005688,1
9767,1774352603.415677,1774352722.989443,1072,439,119.570139,0.816075,0.271128,True,0.003628,1
13592,1774353486.416857,1774353490.536735,732,75,4.114563,0.780442,0.045056,True,0.005315,1
479,1774350243.509303,1774350303.984695,209,167,60.463652,0.442955,0.361570,True,0.011741,1
3029,1774350969.554853,1774351053.648890,377,119,84.093415,26.955999,0.484215,True,0.000622,1
3903,1774351204.889047,1774351267.796912,396,91,62.904195,19.193722,0.485672,True,0.003670,1
5263,1774351572.438944,1774351643.096382,466,103,70.656750,25.967093,0.438134,True,0.000688,1
6538,1774351882.359562,1774351906.373193,963,406,24.012995,1.038702,0.056727,True,0.000636,1
7813,1774352182.646521,1774352260.039459,1586,104,77.387757,22.920502,0.528808,True,0.005180,1
9768,1774352603.441844,1774352643.198525,429,88,39.747838,0.394282,0.452340,True,0.008844,1
13593,1774353486.734355,1774353492.474714,331,18,5.729341,0.469077,0.309427,True,0.011018,1
480,1774350243.916770,1774350340.095344,1159,399,96.175877,0.858782,0.239490,True,0.002697,1
3030,1774350969.827714,1774350993.694769,979,45,23.855825,1.049919,0.518316,True,0.011229,1
3904,1774351205.270517,1774351317.018074,181,187,111.742762,22.070044,0.482111,True,0.004794,1
