RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1773634627.143975,1773634655.017789,374,44,55.746198,11.019485,1.040156,True
1,1773634644.403003,1773634783.559408,396,109,278.305240,103.063987,1.622604,True
2,1773634645.312044,1773634663.473387,879,55,36.309108,2.075849,0.633949,True
3,1773634645.987324,1773634652.085497,91,16,12.194798,1.776909,0.694526,True
4,1773634650.716338,1773634665.706551,91,16,29.979022,6.550792,1.561882,True
5,1773634652.390191,1773634777.623453,381,84,250.452883,97.638942,1.841132,True
6,1773634658.126157,1773634791.339885,1313,142,266.413925,91.619632,1.239676,True
7,1773634660.150250,1773634777.684180,388,84,235.052491,90.097885,1.746441,True
8,1773634660.492958,1773634755.418688,242,14,189.829760,90.386146,7.649509,True
9,1773634661.004095,1773634793.568112,209,152,265.114436,87.555477,1.175887,True
10,1773634661.945150,1773634701.688415,394,124,79.471050,1.187717,0.636450,True
11,1773634664.854660,1773634770.121007,394,59,210.519120,85.174519,2.161114,True
12,1773634665.474299,1773634719.162197,1315,174,107.360355,2.934063,0.603620,True
13,1773634669.328508,1773634779.067084,389,90,219.457080,80.413979,1.562282,True
14,1773634671.776552,1773634720.576764,415,106,97.582946,1.147124,0.918436,True
15,1773634672.869371,1773634678.541239,120,12,11.342349,0.684139,0.968928,True
16,1773634674.491404,1773634696.572907,369,74,44.149493,0.867911,0.592898,True
17,1773634678.690701,1773634795.958658,206,162,234.520430,71.557386,1.012193,True
18,1773634679.245349,1773634791.456304,1353,142,224.414417,71.640781,1.083501,True
19,1773634679.343799,1773634723.619014,197,152,88.534972,0.629915,0.582153,True
20,1773634683.382679,1773634754.010735,181,154,141.240463,1.163706,0.915534,True
21,1773634683.535569,1773634768.488416,388,54,169.890255,65.023077,1.978626,True
