RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1761015086.729026,1761015096.897299,374,44,20.334445,3.179004,0.398964,True
1,1761015103.97299,1761015119.173351,396,109,30.399214,1.559384,0.267035,True
2,1761015104.880979,1761015114.624112,879,55,19.474447,1.103601,0.340201,True
3,1761015105.554981,1761015107.758725,91,16,4.405976,0.398056,0.267195,True
4,1761015110.284077,1761015112.988383,91,16,5.407241,0.310524,0.339781,True
5,1761015111.959421,1761015122.754309,381,84,21.583964,0.784903,0.250591,True
6,1761015117.695312,1761015149.019997,1313,142,62.64189,1.610497,0.432847,True
7,1761015119.719907,1761015136.610003,388,84,33.778794,0.65127,0.399127,True
8,1761015120.061859,1761015123.678148,242,14,7.220865,0.737827,0.498695,True
9,1761015120.573428,1761015151.681915,209,152,62.205213,0.61747,0.407866,True
10,1761015121.514637,1761015147.337264,394,124,51.63346,0.625698,0.414697,True
11,1761015124.423735,1761015134.815969,394,59,20.778698,0.730843,0.345653,True
12,1761015125.044379,1761015149.089611,1315,174,48.074953,2.33269,0.264406,True
13,1761015128.897921,1761015148.939281,389,90,40.076859,0.61856,0.443352,True
14,1761015131.344897,1761015145.047043,415,106,27.392524,0.792197,0.253336,True
15,1761015132.437085,1761015135.209256,120,12,5.52271,0.37862,0.467645,True
16,1761015134.060138,1761015150.590374,369,74,33.048783,0.656977,0.443723,True
17,1761015138.259966,1761015170.249961,206,162,63.968174,0.487772,0.394288,True
18,1761015138.814534,1761015167.038161,1353,142,56.432694,1.868544,0.38698,True
19,1761015138.912771,1761015157.547454,197,152,37.261944,0.459583,0.243724,True
20,1761015142.951943,1761015171.453561,181,154,56.988344,0.43553,0.369626,True
21,1761015143.105434,1761015153.278005,388,54,20.34384,0.871819,0.367397,True
22,1761015157.885513,1761015187.704736,203,147,59.6372,0.439857,0.405461,True
23,1761015159.355403,1761015200.198448,126,194,81.671849,0.368064,0.421263,True
24,1761015160.569062,1761015178.10287,389,87,35.061997,0.597452,0.400751,True
25,1761015166.370318,1761015169.494884,91,16,6.247785,0.286927,0.397391,True
26,1761015168.629631,1761015184.350916,181,123,31.420486,0.390156,0.254347,True
27,1761015169.346983,1761015199.411647,191,217,60.123756,0.451838,0.276259,True
28,1761015170.481354,1761015212.319277,27,183,83.668479,0.278587,0.458186,True
29,1761015172.194595,1761015221.965295,203,217,99.540272,0.392046,0.45902,True
30,1761015172.214564,1761015189.335041,398,81,34.237423,0.846984,0.41738,True
31,1761015177.56558,1761015217.958968,126,172,80.785444,0.503907,0.469483,True
32,1761015178.693383,1761015220.919319,209,181,84.436284,0.525596,0.46617,True
33,1761015180.199196,1761015207.244522,209,181,54.068931,0.511224,0.297543,True
34,1761015183.299379,1761015209.467381,28,175,52.330073,0.199229,0.299603,True
35,1761015185.787704,1761015208.542238,437,88,45.490887,0.756758,0.514185,True
36,1761015186.293496,1761015202.996171,181,104,33.387497,0.442706,0.319852,True
37,1761015187.039483,1761015220.469995,203,138,66.845528,0.479393,0.484424,True
38,1761015187.606836,1761015215.831572,200,177,56.427814,0.443857,0.318091,True
39,1761015188.010274,1761015190.394274,91,16,4.746643,0.346908,0.293316,True
40,1761015190.381755,1761015343.299545,1087,401,305.814132,1.624476,0.760474,True
41,1761015191.731385,1761015207.621583,382,64,31.764917,0.943328,0.489232,True
42,1761015192.341564,1761015208.359957,412,102,32.015061,0.790081,0.309158,True
43,1761015192.558737,1761015234.031148,194,217,82.923183,1.070934,0.378946,True
44,1761015196.035162,1761015236.727563,203,217,81.369334,0.517434,0.374314,True
45,1761015196.924082,1761015252.139651,200,217,110.41568,0.494845,0.508893,True
46,1761015199.074913,1761015242.622686,64,174,87.082062,0.305592,0.501598,True
47,1761015200.126851,1761015226.010466,458,123,51.757746,0.875629,0.417067,True
48,1761015201.027983,1761015241.275274,1352,158,80.489191,1.848104,0.500899,True
49,1761015201.145448,1761015364.947933,874,404,327.599183,2.564066,0.806539,True
50,1761015201.771745,1761015216.700938,378,58,29.846814,2.287771,0.483492,True
51,1761015204.076128,1761015206.389771,91,16,4.625881,0.253575,0.291487,True
52,1761015207.439685,1761015229.964327,389,89,45.035891,0.758243,0.503155,True
