RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success
0,1761031590.140125,1761031600.231804,374,44,20.182045,3.108003,0.397071,True
1,1761031607.38399,1761031622.043586,396,109,29.311806,1.565298,0.256912,True
2,1761031608.293122,1761031618.302829,879,55,20.00596,1.099006,0.350129,True
3,1761031608.967928,1761031612.074456,91,16,6.191697,0.710157,0.365436,True
4,1761031613.696384,1761031615.866249,91,16,4.318774,0.354207,0.264304,True
5,1761031615.372137,1761031633.663556,381,84,36.565428,0.650138,0.432714,True
6,1761031621.107838,1761031653.42022,1313,142,64.615392,1.657788,0.446508,True
7,1761031623.132098,1761031634.7018,388,84,23.138306,0.720886,0.270089,True
8,1761031623.474503,1761031626.468155,242,14,5.976126,0.526767,0.419181,True
9,1761031623.986315,1761031643.547036,209,152,39.116096,0.537784,0.255486,True
10,1761031624.927133,1761031652.251307,394,124,54.627031,0.621812,0.439067,True
11,1761031627.835631,1761031641.315283,394,59,26.943948,0.610139,0.454031,True
12,1761031628.45619,1761031663.217249,1315,174,69.516756,1.670296,0.392176,True
13,1761031632.310541,1761031644.062155,389,90,23.485883,0.786472,0.25505,True
14,1761031634.757414,1761031656.71353,415,106,43.90685,0.610049,0.41235,True
15,1761031635.849621,1761031638.629024,120,12,5.537431,0.386747,0.468244,True
16,1761031637.472145,1761031653.376132,369,74,31.792678,0.552659,0.427945,True
17,1761031641.672361,1761031670.886319,206,162,58.406592,0.422541,0.360149,True
18,1761031642.226095,1761031668.106858,1353,142,51.760478,1.810372,0.354256,True
19,1761031642.325745,1761031661.767657,197,152,38.874849,0.46237,0.254387,True
20,1761031646.364068,1761031666.534917,181,154,40.330367,0.425174,0.260818,True
21,1761031646.517575,1761031653.892531,388,54,14.735969,1.003578,0.259102,True
22,1761031661.298178,1761031687.98628,203,147,53.375114,0.412029,0.362761,True
23,1761031662.767844,1761031687.457361,126,194,49.371786,0.464488,0.253406,True
24,1761031663.98199,1761031675.3024,389,87,22.625368,0.830167,0.253433,True
25,1761031669.781204,1761031671.868276,91,16,4.168799,0.291528,0.258485,True
26,1761031672.041423,1761031697.192598,181,123,50.289193,0.51931,0.40795,True
27,1761031672.75939,1761031719.212957,191,217,92.895646,0.498763,0.427763,True
28,1761031673.894018,1761031700.050158,27,183,52.306955,0.258109,0.285983,True
29,1761031675.606439,1761031723.62997,203,217,96.031738,0.683402,0.441427,True
30,1761031675.626721,1761031692.581718,398,81,33.891472,0.594753,0.416209,True
31,1761031680.977497,1761031718.980087,126,172,76.00351,0.347022,0.442436,True
32,1761031682.105351,1761031711.788463,209,181,59.356956,0.518335,0.326881,True
33,1761031683.61184,1761031725.741754,209,181,84.250587,0.522385,0.465157,True
34,1761031686.711062,1761031728.784555,28,175,84.13087,0.384063,0.481303,True
35,1761031689.199441,1761031709.225895,437,88,40.035794,0.721873,0.451884,True
36,1761031689.706031,1761031713.063144,181,104,46.702539,0.717348,0.446458,True
37,1761031690.451523,1761031715.017754,203,138,49.121076,0.467099,0.355139,True
38,1761031691.019385,1761031722.545317,200,177,63.034551,0.433452,0.355688,True
39,1761031691.422609,1761031694.708892,91,16,6.559286,0.384528,0.411651,True
40,1761031693.795953,1761031814.476901,1087,401,241.360551,1.907684,0.598632,True
41,1761031695.144038,1761031708.101357,382,64,25.913638,1.375967,0.389487,True
42,1761031695.754496,1761031719.33009,412,102,47.139441,0.634447,0.460445,True
43,1761031695.970212,1761031738.885116,194,217,85.816641,1.040107,0.392484,True
44,1761031699.446931,1761031753.995977,203,217,109.088823,0.435747,0.503024,True
45,1761031700.335864,1761031742.262797,200,217,83.846562,0.501952,0.385855,True
46,1761031702.486662,1761031738.153383,64,174,71.322225,0.265339,0.410733,True
47,1761031703.539166,1761031728.642565,458,123,50.194987,0.916128,0.403925,True
48,1761031704.440408,1761031746.501359,1352,158,84.102282,1.746974,0.524556,True
49,1761031704.55719,1761031844.901875,874,404,280.672028,1.632121,0.692407,True
50,1761031705.183235,1761031718.979835,378,58,27.585627,1.598765,0.45591,True
51,1761031707.487642,1761031709.858418,91,16,4.732276,0.295815,0.295764,True
52,1761031710.851739,1761031733.736514,389,89,45.760206,0.701073,0.512036,True
53,1761031715.202621,1761031759.559217,212,183,88.699774,0.421959,0.485043,True
54,1761031716.608958,1761031868.994072,1085,394,304.769225,1.900589,0.770658,True
55,1761031717.166744,1761031752.499495,407,131,70.648263,0.760967,0.537595,True
56,1761031717.793928,1761031741.529863,396,82,47.466617,0.729951,0.576996,True
57,1761031719.679713,1761031864.865185,1029,399,290.366682,1.351546,0.726169,True
58,1761031723.069292,1761031876.939438,962,399,307.735156,1.61662,0.769142,True
59,1761031723.779739,1761031809.004044,203,217,170.441189,1.704022,0.781191,True
60,1761031724.091314,1761031750.289376,898,94,52.39507,1.228704,0.550176,True
61,1761031724.233257,1761031815.750087,181,253,183.028187,1.474096,0.720453,True
62,1761031724.708503,1761031731.234348,320,18,13.042215,0.622202,0.730589,True
63,1761031725.120625,1761031880.038978,1119,414,309.815476,2.290035,0.744614,True
64,1761031725.425832,1761031765.813535,124,157,80.770302,0.668933,0.51347,True
65,1761031725.856194,1761031779.103384,1313,179,106.483284,1.92243,0.587421,True
66,1761031729.111861,1761031877.625425,1096,383,297.019755,1.90954,0.77254,True
67,1761031731.302577,1761031756.315444,400,102,50.015191,0.605247,0.489207,True
68,1761031734.67977,1761031893.07184,1057,424,316.766688,1.81936,0.744556,True
69,1761031736.208002,1761031801.168608,203,162,129.913854,0.44477,0.804156,True
70,1761031737.584835,1761031819.062485,1314,216,162.934885,1.668747,0.750075,True
71,1761031738.624938,1761031760.444355,2,93,43.617701,0.924028,0.464062,True
72,1761031740.029755,1761031902.373322,1065,409,324.668032,1.457565,0.792183,True
73,1761031742.745883,1761031776.402495,372,60,67.31219,0.735832,1.128413,True
74,1761031744.322386,1761031904.676686,1104,394,320.699282,1.560315,0.812058,True
75,1761031745.380647,1761031921.864405,1075,415,352.966413,1.847114,0.848114,True
76,1761031747.008479,1761031897.429319,1225,372,300.840448,2.416021,0.804379,True
77,1761031747.422208,1761031927.381477,1118,426,359.897334,4.788509,0.83555,True
78,1761031748.677289,1761031787.969359,380,102,78.572774,0.755295,0.77047,True
79,1761031748.706431,1761031900.054064,1133,385,302.679767,2.699592,0.781198,True
80,1761031750.293739,1761031827.567391,42,167,154.529755,3.915841,0.907313,True
81,1761031752.0425,1761031898.697903,1140,377,293.303204,2.131211,0.774394,True
82,1761031754.630131,1761031836.69152,126,203,164.121545,0.478939,0.810112,True
83,1761031755.555389,1761031788.090803,431,84,65.059639,0.761976,0.774671,True
84,1761031759.462594,1761031940.921481,1115,421,362.912534,2.000604,0.859314,True
85,1761031760.245877,1761031841.570701,206,179,162.648462,0.977088,0.908266,True
86,1761031760.248398,1761031810.75909,400,91,101.003352,0.966166,1.111524,True
87,1761031760.307168,1761031927.65796,1123,396,334.696215,5.81707,0.832605,True
88,1761031760.381481,1761031924.261302,862,379,327.754191,5.742733,0.851882,True
89,1761031760.867449,1761031956.029373,859,422,390.312504,1.458385,0.923644,True
90,1761031760.891563,1761031947.416626,890,402,373.044833,1.755277,0.925909,True
91,1761031760.987225,1761031936.357455,1192,419,350.723101,3.101085,0.831632,True
92,1761031761.361725,1761031933.078563,899,403,343.432517,1.680418,0.85013,True
93,1761031762.125465,1761031862.152576,163,224,200.041015,0.933447,0.892859,True
94,1761031762.899907,1761031867.635533,181,212,209.457953,5.28594,0.96764,True
95,1761031764.482632,1761031813.695266,416,88,98.419945,0.784135,1.122251,True
96,1761031764.567094,1761031946.033479,1163,426,362.931463,3.579387,0.845534,True
97,1761031765.29139,1761031770.200028,243,14,9.816219,0.488934,0.717483,True
98,1761031765.699738,1761031952.800731,1041,428,374.200966,4.409402,0.866022,True
99,1761031765.8188,1761031830.282642,1350,146,128.91846,3.568545,0.864482,True
100,1761031766.289213,1761031952.565681,1104,396,372.537587,1.442032,0.939482,True
101,1761031766.371438,1761031963.250363,1127,426,393.74233,2.157169,0.921377,True
102,1761031769.438476,1761031936.084881,1114,414,333.271327,2.800574,0.800171,True
103,1761031770.165035,1761031956.264098,1083,396,372.192687,1.356024,0.938827,True
104,1761031770.22852,1761031848.498839,1313,173,156.534385,4.092844,0.886288,True
105,1761031770.545661,1761031927.796764,888,395,314.497103,5.283401,0.784806,True
106,1761031770.608959,1761031827.828574,13,130,114.438136,4.512395,0.852138,True
107,1761031770.82635,1761031817.493079,874,89,93.320034,1.972371,1.038042,True
108,1761031771.114048,1761031927.888745,1065,395,313.544308,3.9654,0.785733,True
109,1761031772.137625,1761031965.867154,1157,426,387.447529,2.170375,0.906534,True
110,1761031772.246786,1761031953.402008,1077,390,362.292112,2.320469,0.925377,True
111,1761031774.888113,1761031963.354706,1149,411,376.919674,1.615923,0.915375,True
112,1761031775.046407,1761031955.775689,996,389,361.451187,2.451742,0.925256,True
113,1761031775.752459,1761031956.980357,990,394,362.434437,3.031258,0.914512,True
114,1761031776.634034,1761031859.852105,197,183,166.435048,2.239951,0.902171,True
115,1761031778.966438,1761031869.853688,197,217,181.773219,0.509001,0.839186,True
116,1761031779.966246,1761031962.946769,1378,407,365.943614,1.80615,0.89689,True
117,1761031781.062058,1761031971.111097,1214,421,380.096686,2.31361,0.899484,True
118,1761031781.827397,1761031953.189808,1016,375,342.708872,2.533753,0.909559,True
119,1761031782.258104,1761031962.01835,1186,398,359.517236,3.65607,0.896376,True
120,1761031782.664871,1761031965.577957,1100,426,365.814884,1.86839,0.856345,True
121,1761031783.311498,1761031870.946324,218,217,175.252347,1.231899,0.80565,True
122,1761031784.965207,1761031967.938426,1232,419,365.939097,2.644726,0.869125,True
123,1761031786.108427,1761031966.082039,975,416,359.944136,1.736906,0.86315,True
124,1761031787.034345,1761031880.218277,209,217,186.35063,1.336055,0.856549,True
125,1761031788.370849,1761031829.932031,181,85,83.117263,0.522011,0.983277,True
126,1761031788.475801,1761031961.34809,1029,388,345.74338,1.407604,0.889757,True
127,1761031788.769694,1761031977.723885,888,418,377.895209,3.257922,0.898411,True
128,1761031789.024148,1761031958.862932,1113,375,339.662289,1.902223,0.903102,True
129,1761031789.096773,1761032030.217988,1035,520,482.226739,2.160118,0.924984,True
130,1761031789.096878,1761031971.512345,1009,425,364.794334,3.454376,0.852217,True
131,1761031789.455553,1761031976.746222,869,450,374.572275,4.506086,0.824201,True
132,1761031789.640114,1761031986.2396,1183,431,393.193762,2.140104,0.909427,True
133,1761031791.040839,1761031963.645002,972,395,345.202928,2.2857,0.870348,True
134,1761031792.070726,1761031963.191498,1097,396,342.228113,1.650527,0.862222,True
135,1761031792.650416,1761031875.101533,206,183,164.884729,3.473709,0.886874,True
136,1761031792.746563,1761031880.172638,181,208,174.843004,3.226117,0.829067,True
137,1761031792.757271,1761031869.535061,1316,200,153.54642,3.321565,0.754899,True
138,1761031793.09335,1761032005.503432,908,456,424.814754,1.837441,0.92962,True
139,1761031793.702963,1761031971.143162,1094,422,354.879269,2.207347,0.837701,True
140,1761031793.759992,1761031979.484496,996,422,371.437176,1.794015,0.878012,True
141,1761031794.107446,1761031826.910313,420,89,65.590509,3.19427,0.709048,True
142,1761031794.611649,1761031960.754502,1112,385,332.26425,3.328818,0.856603,True
143,1761031795.587052,1761031962.127605,1133,396,333.065626,2.703917,0.836359,True
144,1761031796.042706,1761031966.534461,890,403,340.982322,1.197462,0.845236,True
145,1761031796.612123,1761031810.540041,833,36,27.848496,2.405795,0.726934,True
146,1761031796.839698,1761031973.256198,1093,426,352.811681,3.447791,0.822033,True
147,1761031797.887361,1761031881.072721,206,211,166.357701,0.90821,0.787855,True
148,1761031798.607091,1761031978.088948,898,454,358.962705,5.279585,0.780757,True
149,1761031799.036531,1761031874.960934,1312,180,151.831452,4.235682,0.824557,True
150,1761031799.120948,1761031962.639712,1129,396,327.024051,3.083962,0.820101,True
151,1761031799.158384,1761031819.016727,375,67,39.715828,0.682132,0.59142,True
152,1761031801.659379,1761031991.978274,862,425,380.63663,1.282322,0.894704,True
153,1761031802.69959,1761031867.980683,167,179,130.551005,0.628831,0.7299,True
154,1761031802.814839,1761031971.929333,914,414,338.223621,2.651959,0.812522,True
155,1761031804.379546,1761031888.889982,209,217,169.013604,0.450062,0.780387,True
156,1761031804.952472,1761032098.967727,982,594,588.020677,1.424284,0.989201,True
